UniteM Bin ID	Contig ID	No. Matched Bins	No. Unmatched Bins	No. Degenerate Bins	No. Unbinned	maxbin_ms107	maxbin_ms40	metabat2	metabat_specific	metabat_superspecific	metabat_verysensitive
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2328	1	4	1	0	degenerate,max107.004,100.0,11.0	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2965	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2107	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_530	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_901	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2047	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_1061	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2706	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_2846	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_3022	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_814	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG1	5498e568-6918-4000-b27e-dbeff35eeee7_3075	1	4	1	0	degenerate,max107.002,100.0,18.8	unmatched,max40.003,100.0,0.0	unmatched,mb2.7,96.5,0.0	unmatched,mb_specific.3,100.0,0.0	matched,mb_superspecific.3,100.0,0.0	unmatched,mb_verysensitive.3,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2993	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_3112	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_407	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1335	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1267	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
